"entrezgene_id" "external_gene_name"
100253962 "VIT_00s0299g00060"
100262434 "LOC100262434"
100262795 "VIT_04s0008g03870"
100252878 "LOC100252878"
100253846 "LOC100253846"
100254817 "LOC100254817"
100253729 "VIT_19s0014g02860"
100251309 "VIT_04s0023g00980"
104880827 "VIT_12s0028g02140"
104877307 "UBI11_2"
100248018 "VIT_05s0077g02310"
100257081 "VIT_06s0004g04340"
100265954 "LOC100265954"
100263897 "LOC100263897"
100243801 "LOC100243801"
100264625 "LOC100264625"
100241507 "LOC100241507"
100265718 "LOC100265718"
100854423 "LOC100854423"
100262208 "VIT_01s0026g01400"
100262327 "VIT_16s0098g01570"
100259159 "VIT_18s0001g07770"
100251672 "VIT_05s0077g02040"
100251313 "LOC100251313"
100260266 "LOC100260266"
100252646 "LOC100252646"
100247294 "VIT_04s0044g00080"
100260382 "VIT_04s0043g00770"
100262681 "LOC100262681"
100249350 "LOC100249350"
100263880 "VIT_01s0026g00990"
100263760 "VIT_08s0058g01410"
100241753 "VIT_16s0098g01150"
100241872 "VIT_05s0029g01350"
100263886 "LOC100263886"
100259397 "LOC100259397"
100264613 "LOC100264613"
100258189 "LOC100258189"
100257095 "VIT_11s0037g00430"
100241633 "VIT_11s0065g00160"
100241876 "LOC100241876"
100853219 "LOC100853219"
100243938 "LOC100243938"
100242728 "LOC100242728"
100258185 "Mfap1_0"
100265707 "LOC100265707"
100247380 "VIT_14s0066g01140"
100262775 "LOC100262775"
100262654 "LOC100262654"
100250433 "LOC100250433"
100248113 "LOC100248113"
100247024 "LOC100247024"
100248351 "LOC100248351"
100260470 "LOC100260470"
100248594 "VIT_07s0005g01000"
100248471 "LOC100248471"
100241961 "VIT_08s0105g00390"
100247029 "VIT_03s0038g02100"
100248599 "LOC100248599"
100258154 "NOB1_1"
100240756 "LOC100240756"
100233099 "UFGT_4"
100241843 "VIT_16s0098g00680"
100241722 "LOC100241722"
100257187 "LOC100257187"
100240999 "LOC100240999"
100241605 "LOC100241605"
100853477 "LOC100853477"
100260008 "VIT_10s0003g04180"
100251651 "LOC100251651"
100260487 "VIT_13s0067g01900"
100250686 "LOC100250686"
100249213 "LOC100249213"
100250203 "LOC100250203"
100251778 "LOC100251778"
100252504 "LOC100252504"
100248364 "LOC100248364"
100260481 "LOC100260481"
100248481 "LOC100248481"
100253708 "VIT_19s0090g01240"
100233080 "ADC"
100258281 "VPS32.2_1"
100263862 "VIT_02s0025g00780"
100241733 "LOC100241733"
100258284 "LOC100258284"
100262878 "VIT_11s0016g01700"
100854573 "LOC100854573"
100258499 "VIT_08s0058g01140"
100259468 "BAG2_1"
100260212 "VIT_05s0077g00730"
100258139 "LOC100258139"
100260455 "VIT_01s0026g00040"
100251742 "LOC100251742"
100251745 "LOC100251745"
100250413 "LOC100250413"
100245066 "LOC100245066"
100253804 "LOC100253804"
100268065 "VIT_17s0000g04730"
100246273 "LOC100246273"
100247482 "VIT_04s0008g00730"
100250529 "VIT_18s0001g04440"
100249428 "SEC23_0"
100248456 "LOC100248456"
100257163 "LOC100257163"
100240975 "LOC100240975"
100259342 "LOC100259342"
100265912 "LOC100265912"
100256192 "VIT_08s0007g03360"
100241948 "LOC100241948"
100263859 "VIT_17s0000g07470"
100259340 "VIT_07s0031g02850"
100257164 "LOC100257164"
100263618 "LOC100263618"
100854467 "LOC100854467"
100264929 "LOC100264929"
100259238 "VIT_15s0048g01770"
100251630 "LOC100251630"
100252842 "LOC100252842"
100262761 "VIT_14s0171g00400"
100246046 "LOC100246046"
100268051 "AP2"
100262760 "VIT_04s0008g01380"
100249311 "LOC100249311"
100248229 "VIT_00s0181g00250"
100240980 "VIT_04s0023g00750"
100249315 "VIT_14s0060g02290"
100247259 "LOC100247259"
100240981 "VIT_13s0019g03560"
100241955 "LOC100241955"
100241711 "LOC100241711"
100241717 "LOC100241717"
